Employee_ID,Attrition_rate
EID_22713,0.20189551
EID_9658,0.194051578
EID_22203,0.179030862
EID_7652,0.212738875
EID_6516,0.193224045
EID_20283,0.179197544
EID_21014,0.201888016
EID_7693,0.19378313
EID_13232,0.197535295
EID_6515,0.212182445
EID_13639,0.162488364
EID_14669,0.182181451
EID_16537,0.20818796
EID_5782,0.179282584
EID_20157,0.199016881
EID_1855,0.163952558
EID_20748,0.219424593
EID_23179,0.191549469
EID_12838,0.177077318
EID_21656,0.194199612
EID_8844,0.184431761
EID_1536,0.186869702
EID_8822,0.1750401
EID_11398,0.196448953
EID_12965,0.205122703
EID_5204,0.200693758
EID_10030,0.219606214
EID_13227,0.17607621
EID_20607,0.186564296
EID_14070,0.182222116
EID_3755,0.211865369
EID_5459,0.209554216
EID_7697,0.200646415
EID_3935,0.181978526
EID_19046,0.196597853
EID_4040,0.17365508
EID_17730,0.179850092
EID_4995,0.198098316
EID_24653,0.194531881
EID_6978,0.178786838
EID_13775,0.206052194
EID_14608,0.18966013
EID_3148,0.194802907
EID_24868,0.217157941
EID_5521,0.190898248
EID_21155,0.204199897
EID_3840,0.19246593
EID_10646,0.178474388
EID_6711,0.210741778
EID_16247,0.188689284
EID_16789,0.202862175
EID_17967,0.196835635
EID_13270,0.207549828
EID_18462,0.187645854
EID_22248,0.161733521
EID_22693,0.18681035
EID_25662,0.20308459
EID_23346,0.198382908
EID_4437,0.190498186
EID_18108,0.179646994
EID_7000,0.182569566
EID_22770,0.203737442
EID_7816,0.172894346
EID_19615,0.199916595
EID_23807,0.196087197
EID_16764,0.202718896
EID_16818,0.198429132
EID_22712,0.190884715
EID_18198,0.223369425
EID_11154,0.214886783
EID_22137,0.191910361
EID_11655,0.200035102
EID_18514,0.19982741
EID_24742,0.188707206
EID_16019,0.184222604
EID_7357,0.185622474
EID_20106,0.19199625
EID_13284,0.202095793
EID_5451,0.168233452
EID_19728,0.191531944
EID_9178,0.202968039
EID_13177,0.166483927
EID_14300,0.194533898
EID_4379,0.174523271
EID_11285,0.189635609
EID_14882,0.21834988
EID_9969,0.189325421
EID_23643,0.16896795
EID_5935,0.18529249
EID_7741,0.184672754
EID_6176,0.195344766
EID_5418,0.186778941
EID_20626,0.22640652
EID_1725,0.189332498
EID_14317,0.201322653
EID_12120,0.188699258
EID_20264,0.163515227
EID_16691,0.166553454
EID_1093,0.16789138
EID_2565,0.186192283
EID_11463,0.202482304
EID_12005,0.175592722
EID_10326,0.181966426
EID_12582,0.18790843
EID_18228,0.193685272
EID_11670,0.208796814
EID_24257,0.174439326
EID_7024,0.196724784
EID_10382,0.195719587
EID_20210,0.168181196
EID_10294,0.158578508
EID_19941,0.211099213
EID_25572,0.189755136
EID_7758,0.176759379
EID_22718,0.17140522
EID_1078,0.19049421
EID_8227,0.185539353
EID_1702,0.19122046
EID_3532,0.198535886
EID_22452,0.182885702
EID_3019,0.183178388
EID_22264,0.211512161
EID_9866,0.185344127
EID_3520,0.171975166
EID_21098,0.187179273
EID_1186,0.174753641
EID_12355,0.182846281
EID_11020,0.193230323
EID_19193,0.162871145
EID_17787,0.177451221
EID_13719,0.199502366
EID_24449,0.185687553
EID_12957,0.180142299
EID_24794,0.202689111
EID_2866,0.197772566
EID_10563,0.193757887
EID_22492,0.208980506
EID_4106,0.200463104
EID_6648,0.21347802
EID_7209,0.191594569
EID_9692,0.179505729
EID_22763,0.201521706
EID_12622,0.1846873
EID_9831,0.197587381
EID_5731,0.160818209
EID_1114,0.167268184
EID_25017,0.203122735
EID_22956,0.188653783
EID_5549,0.189830835
EID_12022,0.198271932
EID_8034,0.184150651
EID_20644,0.179297347
EID_20125,0.192716277
EID_21957,0.186163933
EID_8870,0.171929918
EID_2305,0.198870037
EID_3977,0.176316842
EID_14845,0.180484622
EID_6629,0.168587786
EID_14577,0.172716465
EID_24509,0.191547062
EID_1530,0.1770738
EID_21524,0.224606969
EID_6647,0.175243763
EID_19730,0.20760238
EID_4424,0.192795909
EID_7964,0.183716177
EID_6289,0.193559978
EID_2899,0.17598957
EID_2827,0.176143403
EID_8801,0.190364849
EID_20454,0.196915717
EID_18988,0.191695615
EID_8405,0.222269662
EID_14497,0.184843863
EID_11769,0.215646372
EID_21353,0.207932449
EID_2221,0.188775531
EID_13218,0.170142852
EID_4576,0.201165382
EID_17470,0.210368387
EID_14817,0.174766257
EID_21845,0.202871312
EID_21987,0.172765904
EID_1168,0.185656649
EID_14315,0.19684318
EID_5043,0.206220019
EID_1967,0.182747824
EID_22274,0.16610624
EID_11091,0.16188862
EID_18421,0.201607987
EID_8316,0.199640323
EID_13308,0.210200639
EID_19481,0.190513725
EID_17732,0.205777216
EID_4504,0.188635594
EID_2539,0.207877913
EID_19529,0.205170094
EID_2279,0.185079147
EID_14508,0.203234033
EID_12241,0.187395219
EID_11530,0.183557087
EID_20147,0.153924899
EID_6154,0.200348187
EID_3523,0.181519741
