Employee_ID,Attrition_rate
EID_22713,0.217422755
EID_9658,0.360035789
EID_22203,0.185475431
EID_7652,0.224756104
EID_6516,0.185722022
EID_20283,0.155643772
EID_21014,0.257730675
EID_7693,0.156414065
EID_13232,0.143492647
EID_6515,0.187151222
EID_13639,0.181519182
EID_14669,0.202135726
EID_16537,0.26891898
EID_5782,0.252356292
EID_20157,0.224023441
EID_1855,0.196816279
EID_20748,0.250787297
EID_23179,0.197279735
EID_12838,0.196283659
EID_21656,0.146779806
EID_8844,0.19194788
EID_1536,0.173784851
EID_8822,0.15944005
EID_11398,0.216074476
EID_12965,0.277311352
EID_5204,0.213578879
EID_10030,0.188348107
EID_13227,0.225848105
EID_20607,0.250447148
EID_14070,0.158336058
EID_3755,0.281257684
EID_5459,0.242522108
EID_7697,0.211083208
EID_3935,0.249379263
EID_19046,0.227113927
EID_4040,0.14078754
EID_17730,0.220260046
EID_4995,0.143881658
EID_24653,0.16604594
EID_6978,0.218838419
EID_13775,0.192161097
EID_14608,0.252605065
EID_3148,0.246361454
EID_24868,0.279173971
EID_5521,0.175829124
EID_21155,0.233519949
EID_3840,0.171255465
EID_10646,0.188427194
EID_6711,0.233048389
EID_16247,0.185019642
EID_16789,0.228431088
EID_17967,0.188057818
EID_13270,0.265134914
EID_18462,0.163912927
EID_22248,0.167016761
EID_22693,0.187780175
EID_25662,0.190027295
EID_23346,0.189616454
EID_4437,0.215984093
EID_18108,0.166023497
EID_7000,0.165914783
EID_22770,0.174721221
EID_7816,0.135397173
EID_19615,0.223348298
EID_23807,0.237008598
EID_16764,0.204659448
EID_16818,0.203614566
EID_22712,0.225402358
EID_18198,0.197759712
EID_11154,0.247223391
EID_22137,0.230500181
EID_11655,0.161187551
EID_18514,0.185188705
EID_24742,0.148318603
EID_16019,0.223456302
EID_7357,0.172681237
EID_20106,0.223046875
EID_13284,0.218447896
EID_5451,0.162176726
EID_19728,0.214090972
EID_9178,0.19762902
EID_13177,0.155786964
EID_14300,0.206211949
EID_4379,0.149721635
EID_11285,0.143547805
EID_14882,0.25226494
EID_9969,0.204942711
EID_23643,0.167433975
EID_5935,0.194751245
EID_7741,0.228296377
EID_6176,0.144807383
EID_5418,0.187489471
EID_20626,0.30565826
EID_1725,0.202116249
EID_14317,0.225056327
EID_12120,0.163229629
EID_20264,0.178978863
EID_16691,0.150046727
EID_1093,0.18483069
EID_2565,0.206871142
EID_11463,0.168346152
EID_12005,0.150043028
EID_10326,0.332303213
EID_12582,0.177159215
EID_18228,0.189237636
EID_11670,0.216138407
EID_24257,0.220139663
EID_7024,0.214292392
EID_10382,0.195009794
EID_20210,0.161005598
EID_10294,0.126884254
EID_19941,0.277119607
EID_25572,0.156112568
EID_7758,0.151100939
EID_22718,0.23762261
EID_1078,0.158602105
EID_8227,0.185429677
EID_1702,0.17084023
EID_3532,0.221067943
EID_22452,0.178042851
EID_3019,0.229770861
EID_22264,0.20296608
EID_9866,0.197792063
EID_3520,0.197552583
EID_21098,0.272199636
EID_1186,0.241561821
EID_12355,0.23937814
EID_11020,0.220405161
EID_19193,0.156400573
EID_17787,0.14574561
EID_13719,0.226884433
EID_24449,0.241098777
EID_12957,0.262736149
EID_24794,0.195599556
EID_2866,0.208208783
EID_10563,0.198728943
EID_22492,0.226285253
EID_4106,0.185801552
EID_6648,0.27260401
EID_7209,0.211312284
EID_9692,0.162592865
EID_22763,0.156455853
EID_12622,0.17615365
EID_9831,0.223168691
EID_5731,0.191166605
EID_1114,0.178034092
EID_25017,0.246141367
EID_22956,0.161389392
EID_5549,0.244150417
EID_12022,0.230975966
EID_8034,0.198245326
EID_20644,0.162913674
EID_20125,0.181043138
EID_21957,0.164111967
EID_8870,0.175039959
EID_2305,0.202225019
EID_3977,0.234423421
EID_14845,0.259632311
EID_6629,0.194768893
EID_14577,0.236738232
EID_24509,0.243008531
EID_1530,0.1638919
EID_21524,0.250523484
EID_6647,0.218836882
EID_19730,0.18097619
EID_4424,0.165102954
EID_7964,0.234473089
EID_6289,0.242824989
EID_2899,0.208884785
EID_2827,0.146771701
EID_8801,0.177097425
EID_20454,0.184092858
EID_18988,0.167282807
EID_8405,0.251909831
EID_14497,0.147796931
EID_11769,0.248078186
EID_21353,0.276291224
EID_2221,0.209057766
EID_13218,0.194251426
EID_4576,0.258857691
EID_17470,0.205694194
EID_14817,0.154408129
EID_21845,0.174285656
EID_21987,0.184892952
EID_1168,0.214338324
EID_14315,0.23074159
EID_5043,0.274070009
